tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date,thrulanes_unidir,aadt_unidir,aadt_singl_unidir,aadt_combi_unidir
126N04294,HI-99,SOUTHBOUND,FARRINGTON HWY,HI,HONOLULU,96797,21.39509,-157.99035,21.396,-157.98318,0.600442,24.0,Pacific/Honolulu,P1.11,USA,87,3,N,2,89770,2,1,4,99,4,9,,43510,606,152,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,21755,303,76
126N04299,HI-99,SOUTHBOUND,MEHEULA PKWY,HI,HONOLULU,96789,21.45114,-158.0157,21.45101,-158.01568,0.009072,15.0,Pacific/Honolulu,P1.11,USA,87,4,N,2,89770,2,,4,99,4,9,,16512,759,86,1,99,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,8256,380,43
126N04298,HI-99,SOUTHBOUND,LANIKUHANA AVE,HI,HONOLULU,96789,21.44391,-158.01354,21.44378,-158.0135,0.009341,17.0,Pacific/Honolulu,P1.11,USA,87,4,N,2,89770,2,,4,99,4,9,,10400,1095,137,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,5200,548,69
126P04512,BISHOP ST,WESTBOUND,S BERETANIA ST,HI,HONOLULU,96813,21.31065,-157.85878,21.31036,-157.85898,0.023883,1.5,Pacific/Honolulu,P1.11,USA,123,3,N,3,89770,1,,5,7505,6,1,,9454,420,234,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,5,9454,420,234
126N04291,HI-99,SOUTHBOUND,HI-78/MOANALUA FWY,HI,HONOLULU,96701,21.37814,-157.93571,21.37249,-157.93345,0.474612,29.0,Pacific/Honolulu,P1.11,USA,87,3,N,3,89770,2,,4,99,4,9,,36556,679,211,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,18278,340,106
126N04290,HI-99,SOUTHBOUND,SALT LAKE BLVD/FORD ISLAND BRIDGE,HI,HONOLULU,96701,21.37181,-157.93385,21.36974,-157.9351,0.164068,31.0,Pacific/Honolulu,P1.11,USA,87,3,N,3,89770,2,,7,99,4,9,,26817,610,190,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3.5,13409,305,95
126N04286,HI-99,SOUTHBOUND,I-H1 (HONOLULU),HI,HONOLULU,96818,21.34837,-157.93464,21.34224,-157.93206,0.460348,39.0,Pacific/Honolulu,P1.11,USA,87,3,N,3,89770,2,1,4,99,4,9,,8689,246,76,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,4345,123,38
126N04283,MOKAPU BLVD,SOUTHBOUND,KAAPA QUARRY RD,HI,HONOLULU,96734,21.40738,-157.75734,21.40697,-157.75815,0.059376,2.5005,Pacific/Honolulu,P1.11,USA,86,3,N,3,43669,2,,4,65,4,9,,19700,528,68,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,9850,264,34
126N04289,HI-99,SOUTHBOUND,ARIZONA MEMORIAL DR/KALALOA ST,HI,HONOLULU,96818,21.36655,-157.93677,21.36588,-157.93707,0.050146,33.0,Pacific/Honolulu,P1.11,USA,87,3,N,3,89770,2,,5,99,4,9,,24700,603,188,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2.5,12350,302,94
126N04288,HI-99,SOUTHBOUND,ARIZONA ST/HALAWA DR,HI,HONOLULU,96818,21.36479,-157.93755,21.36445,-157.93772,0.025909,35.0,Pacific/Honolulu,P1.11,USA,87,3,N,3,89770,2,1,5,99,4,9,,24700,603,188,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2.5,12350,302,94
